x1,y1,x2,y2,nodeID
1450,951,1643,1094,LDEPT00302
1521,1100,1642,1116,LDEPT00302
1456,1103,1506,1142,LREST00202
1457,1149,1517,1188,LDEPT00902
1520,1122,1771,1188,LDEPT00902
1641,1192,1844,1226,LDEPT00902
1846,1131,1969,1288,LDEPT00902
1975,1065,2161,1355,LDEPT00902
2163,1131,2335,1290,LDEPT00902
779,1219,1627,1294,LDEPT00802
726,1294,1683,1355,LDEPT00802
974,276,1127,465,MDEPT00603
976,189,1130,279,MDEPT00603
976,122,1128,180,MDEPT00603
1119,101,1216,243,MDEPT00603
1139,96,1284,238,MDEPT00603
1175,75,1302,118,MDEPT00603
1321,83,1414,141,MDEPT00503
1309,146,1390,195,MDEPT00503
1305,178,1376,230,MDEPT00503
1302,200,1360,253,MDEPT00503
1376,244,1539,300,MDEPT00403
1399,203,1531,245,MDEPT00403
1413,172,1529,217,MDEPT00403
1427,146,1530,195,MDEPT00403
1436,126,1529,190,MDEPT00403
1385,303,1537,409,MDEPT00203
1382,415,1539,473,MDEPT00103
1086,485,1187,615,MSERV00803
1134,624,1190,654,MSERV00803
1087,626,1129,659,NREST00303
1054,712,1221,888,MSERV01003
1227,478,1279,631,MRETL00203
1271,481,1384,1086,MRETL00203
1366,482,1451,870,MRETL00203
1461,684,1633,1110,MRETL00503
1126,931,1168,1085,MRETL00103
1166,933,1233,1023,MRETL00103
1178,1030,1236,1097,MSTAI00103
1134,1135,1175,1191,MELEV00Y03
1087,894,1121,1299,MSERV00603
110,1138,1098,1299,MSERV00603
1028,1309,1127,1366,MSERV00403
1173,1412,1335,1474,MSERV00203
1327,1100,1377,1197,MELEV00Z03
1333,1205,1380,1299,MSERV00703
1381,1305,1488,1368,MSERV00503
1390,895,1429,1298,MSERV00703
1426,1139,2357,1297,MSERV00703
1309,309,1351,399,MSTAI00203
1171,340,1214,422,MELEV00X03
968,369,1130,487,SDEPT02404
968,284,1130,362,SDEPT02304
973,208,1156,291,SDEPT02304
1008,130,1176,195,SDEPT02304
1109,96,1250,261,SDEPT02304
1260,99,1530,269,SDEPT02104
1374,283,1534,382,SDEPT00704
1368,389,1531,487,SDEPT00804
1197,293,1234,328,NREST00104
1269,289,1310,330,NREST00204
1297,334,1343,421,NSTAI00304
1165,365,1207,446,NELEV00X04
1057,493,1233,796,NDEPT00304
1267,491,1446,610,NSERV00204
1265,615,1445,740,NDEPT00904
1270,732,1393,767,NDEPT00904
1412,745,1446,838,NDEPT01004
1398,761,1416,838,NDEPT01004
1267,772,1400,838,NDEPT01004
1057,802,1230,903,NDEPT00204
1087,907,1234,996,NDEPT00204
1124,989,1233,1020,NDEPT00204
1124,1017,1168,1066,NDEPT00204
1270,887,1377,936,NSERV00304
1274,950,1376,984,NSERV00404
1306,991,1342,1025,NDEPT01104
1279,1026,1369,1061,NDEPT01104
1134,1129,1175,1183,NELEV00Y04
1326,1095,1369,1184,NELEV00Z04
1035,1130,1128,1192,NSERV01404
981,1061,1030,1191,NSERV01304
846,1063,976,1193,NDEPT00104
724,1130,853,1193,NDEPT00104
1037,1232,1150,1292,NCONF00304
969,1232,1035,1354,NLABS00104
855,1291,1042,1357,NLABS00104
860,1235,964,1278,NREST00404
666,1239,732,1289,NSTAI00104
352,1227,546,1358,NCONF00104
182,1226,346,1293,NLABS00304
137,1190,175,1286,NSTAI00704
348,1058,541,1132,NDEPT02204
177,1128,663,1207,NDEPT02204
1156,1230,1367,1290,NSERV01504
1157,1285,1348,1356,NSERV01504
1381,1132,1478,1157,NDEPT01204
1460,1157,1477,1193,NDEPT01204
1455,1064,1645,1126,NDEPT01404
1483,1127,1646,1192,NDEPT01404
1373,1232,1771,1291,NDEPT01304
1455,1293,1769,1358,NDEPT01304
1774,1228,1833,1289,NSTAI00404
1652,1127,1740,1190,NDEPT01504
1746,1128,1800,1191,NDEPT01604
1831,1128,1887,1189,NSERV00504
1895,1129,1953,1193,NSERV00704
1840,1231,1883,1294,NSERV00604
1884,1264,1902,1293,NSERV00604
1887,1231,1938,1258,NSERV00804
1910,1259,1938,1293,NSERV00804
1942,1222,1992,1291,NSERV01104
1958,1294,2012,1357,NSERV01104
1956,1063,2051,1123,NSERV00904
1982,1126,2051,1190,NSERV00904
2058,1065,2149,1192,NDEPT01704
1999,1231,2057,1284,NSERV01004
2018,1290,2152,1356,NDEPT01804
2064,1231,2152,1291,NDEPT01804
2156,1129,2247,1191,NDEPT01904
2158,1230,2316,1290,NSERV01204
2256,1130,2321,1193,NDEPT02004
2328,1195,2364,1289,NSTAI00504
129,1133,175,1291,PSTAI00605
176,1133,341,1290,PDEPT01805
348,1060,534,1352,PDEPT01805
537,1131,668,1284,PDEPT01805
662,1134,776,1190,PDEPT01805
670,1226,731,1290,PSTAI00105
781,1134,869,1189,PDEPT01705
857,1067,1037,1121,PDEPT01605
876,1128,1033,1155,PDEPT01605
935,1137,1114,1189,PDEPT01605
829,1226,1116,1295,PDEPT01505
852,1298,1044,1353,PDEPT01505
1180,1229,1311,1295,PCONF00405
1154,1297,1324,1350,PCONF00405
1121,1128,1175,1186,PELEV00Y05
1183,1144,1241,1190,PREST00505
1326,1093,1370,1190,PELEV00Z05
1122,992,1165,1099,PDEPT01105
1266,1027,1377,1085,PDEPT01205
1175,1025,1232,1080,PSTAI00305
1385,1135,1462,1291,PDEPT01305
1335,1196,1394,1290,PDEPT01305
1461,1069,1645,1361,PDEPT01305
1645,1133,1769,1290,PDEPT01305
1769,1194,1840,1226,PDEPT01305
1841,1131,1963,1291,PDEPT01305
1966,1068,2149,1355,PDEPT01305
2155,1135,2321,1288,PDEPT01305
2325,1179,2374,1290,PSTAI00205
1119,891,1228,973,PLABS00205
1173,975,1232,1021,PLABS00205
1059,649,1234,881,PDEPT01005
1059,573,1235,644,PDEPT00905
1060,531,1232,568,PCONF00205
1059,491,1230,529,PCONF00305
1264,487,1439,528,PDEPT00305
1267,490,1438,524,PDEPT00305
1268,538,1440,645,PDEPT00405
1266,647,1440,723,PDEPT00505
1269,728,1441,763,PDEPT00605
1269,768,1440,799,PDEPT00705
1266,808,1436,881,PDEPT00805
1370,385,1519,483,PCONF00105
1370,298,1519,378,PDEPT00205
1374,124,1517,297,PDEPT00205
1337,233,1374,278,PDEPT00205
1204,107,1312,255,PDEPT00105
1304,106,1349,161,PDEPT00105
978,213,1163,274,PDEPT02105
979,264,1151,284,PDEPT02105
1082,104,1175,168,PDEPT02105
978,293,1129,485,PCONF00605
1193,298,1233,327,NREST00205
1269,294,1311,332,NREST00305
1165,370,1204,443,PELEV00X05
1304,338,1342,416,PSTAI00405
1290,2787,1840,3112,AEXIT001L2
1614,2727,1643,2759,AELEV00SL2
1668,2730,1688,2762,AINFO001L2
1672,2642,1719,2719,ALABS001L2
1601,2642,1672,2714,IDEPT00101
1664,2149,1763,2271,GLABS003L2
1712,2109,1764,2227,GLABS003L2
1661,2108,1700,2143,IREST00401
1595,2103,1652,2131,GELEV00QL2
1530,1831,1551,1900,GLABS014L2
1553,1842,1712,1900,GLABS014L2
1664,1903,1713,2076,GLABS014L2
1526,1769,1549,1825,GLABS015L2
1526,1769,1710,1824,GLABS015L2
1540,1680,1713,1770,GLABS015L2
1526,1633,1712,1678,GLABS015L2
1562,1590,1714,1639,GLABS015L2
1529,1539,1713,1587,GLABS015L2
1773,1300,1865,1326,WELEV00ML2
1895,1234,1938,1271,CREST002L2
2014,1212,2115,1270,CSERV001L2
2244,1261,2334,1453,CLABS002L2
1750,877,1826,975,WELEV00LL2
2132,931,2197,1020,WELEV00KL2
2295,895,2350,919,CREST001L2
2315,871,2360,898,CREST001L2
2189,795,2278,868,CLABS001L2
2318,761,2414,831,WELEV00JL2
2491,583,2628,677,ICONF00101
1102,2274,1798,2406,GEXIT001L1
1595,2094,1642,2133,GELEV00QL1
1703,2074,1741,2138,GSTAI008L1
1775,1295,1870,1331,WELEV00ML1
2055,1229,2084,1258,CREST002L1
1909,1061,2039,1269,CLABS001L1
2011,1064,2113,1222,CLABS001L1
2093,1234,2118,1267,CLABS001L1
1683,1002,1716,1032,CREST001L1
1340,930,1533,1335,CLABS002L1
1503,986,1636,1329,CLABS002L1
1624,1043,1660,1146,CLABS002L1
1656,1048,1723,1330,CLABS002L1
1748,874,1830,968,WELEV00LL1
1953,770,1988,798,IREST00502
1999,769,2105,826,CDEPT002L1
1826,770,1951,825,CDEPT002L1
2171,870,2200,901,CRETL001L1
2177,938,2204,1018,WELEV00KL1
2305,889,2358,914,CREST003L1
2174,637,2275,834,CCONF001L1
2320,772,2409,831,WELEV00JL1
2553,829,2667,890,ICONF00402
2243,936,2514,1030,CDEPT004L1
2614,972,2811,1024,CCONF002L1
2688,1082,2757,1111,WELEV00HL1
2785,1094,2813,1154,ISTAI00102
2721,1138,2757,1186,IREST00602
2455,1059,2542,1120,CSERV001L1
2458,1154,2573,1272,CCONF003L1
2148,1061,2428,1266,CLABS004L1
2240,1297,2404,1361,CLABS003L1
2792,1204,3007,1354,CLABS005L1
1426,2873,1477,3006,SREST00103
1503,2869,1549,2902,SDEPT00703
1505,2904,1584,3008,SDEPT00703
1621,2849,1730,2937,SDEPT00303
1520,2805,1582,2841,ADEPT0020G
1503,2749,1540,2786,AELEV00S0G
1470,2697,1502,2726,AINFO0010G
1684,2690,1712,2730,AINFO0020G
1607,2592,1735,2679,ACONF0010G
1496,2475,1563,2521,ADEPT0010G
1616,2543,1696,2595,ASTAI0010G
1154,2314,1762,2461,AEXIT0010G
959,2822,1010,2887,ADEPT00301
1689,2809,1757,2877,ADEPT00201
1483,2758,1593,2806,AELEV00S01
1354,2589,1482,2722,ADEPT00101
1534,2582,1584,2629,AREST00101
1642,2570,1701,2612,ASTAI00101
1588,2484,1733,2552,ARETL00101
1497,2138,1607,2236,GDEPT01901
1405,2083,1493,2241,GCONF02001
1635,2110,1682,2144,GELEV00Q01
1735,2030,1767,2157,GSTAI01301
1613,1988,1684,2057,GREST01201
1691,1862,1725,1981,GSTAI00501
1622,1880,1682,1980,GELEV00N01
1562,1874,1591,1915,GSERV02301
1657,1638,1791,1820,GEXIT00101
1280,1673,1669,1770,GEXIT00101
1392,1192,1613,1297,FRETL00201
1397,1290,1567,1343,FRETL00201
1582,1303,1627,1340,FSERV00501
1473,1359,1845,1494,FEXIT00201
1712,1290,1788,1346,FEXIT00201
1658,1199,1716,1228,FINFO00101
1794,1301,1841,1341,WELEV00M01
1793,1201,1885,1253,FLABS00101
1911,1195,1945,1219,FSTAI00301
1904,1227,1954,1248,FSTAI00301
1990,1350,2159,1484,FEXIT00301
2078,1069,2540,1356,FDEPT00501
2150,1325,2539,1477,FDEPT00501
1644,1132,1750,1192,FSERV00301
1788,1091,1945,1176,FDEPT00401
1793,1161,1904,1187,FDEPT00401
1429,999,1538,1159,FDEPT00201
1550,1090,1628,1154,FDEPT00201
1550,1000,1594,1072,FSERV00201
1777,981,1973,1061,FDEPT00601
1859,950,1923,1008,FDEPT00601
1776,883,1848,976,WELEV00L01
1644,935,1712,1042,FSERV00401
1696,967,1741,1044,FSERV00401
1640,862,1739,924,FDEPT00301
1454,712,1609,854,FDEPT00101
1544,709,1653,779,FDEPT00101
1664,772,1744,807,FSTAI00201
1930,856,1955,882,FSERV00101
1951,820,1986,843,FRETL00101
1957,660,2088,804,FEXIT00101
2024,858,2057,891,FSTAI00101
2037,833,2064,864,FSTAI00101
2077,943,2163,1026,FREST00101
2168,928,2195,994,ESTAI00101
2203,945,2270,1019,WELEV00K01
2295,849,2360,884,EDEPT00101
2298,781,2336,841,ESTAI00201
2345,775,2438,836,WELEV00J01
2436,843,2526,889,EINFO00101
2129,580,2527,768,EEXIT00101
2694,1050,2776,1124,WELEV00H01
2809,1094,2840,1162,ESTAI00301
2730,1177,2775,1219,EREST00301
2623,1230,2776,1346,ELABS00201
2555,1303,2623,1344,ESTAI00401
2773,1365,2953,1470,EDEPT00401
3037,999,3117,1065,EHALL02701
3040,930,3097,961,WELEV00F01
2941,934,3031,966,EREST00201
2910,844,2946,883,WELEV00G01
2896,711,2936,748,EREST00101
2929,692,2971,713,EEXIT00201
2985,598,3293,732,ELABS00101
2976,810,3124,870,EDEPT00201
3122,775,3212,822,EDEPT00301
3154,829,3219,866,EDEPT00301
3223,805,3292,853,WELEV00E01
3336,695,3521,793,SDEPT02504
1265,2620,1376,2814,ADEPT00102
1490,2767,1564,2806,AELEV00S02
1618,2575,1677,2619,ASTAI00102
1531,2468,1658,2541,ACONF00102
1430,2103,1561,2222,GDEPT03502
1315,1941,1439,2081,ICONF00205
1455,1970,1553,2079,ICONF00205
1449,1938,1560,1963,GDEPT02402
1506,1890,1565,1968,GDEPT02402
1597,2104,1652,2138,GELEV00Q02
1595,1995,1665,2085,GREST03102
1670,1957,1702,2031,GSTAI02802
1592,1885,1662,1984,GELEV00N02
1669,1833,1701,1915,GSTAI02602
1603,1797,1654,1844,GINFO01902
1270,1840,1302,1864,IREST00705
1121,1761,1565,1831,GDEPT00702
1801,1301,1880,1342,WELEV00M02
1908,1304,2162,1496,HDEPT00102
1801,1360,1994,1496,HDEPT00102
2207,1299,2528,1495,BLABS00102
2174,1298,2200,1360,BSTAI00902
2194,1225,2234,1267,BREST00302
1791,1208,1927,1248,HSTAI00302
1681,1153,1707,1224,HSTAI00202
1796,1115,1942,1182,HRETL00302
1816,1089,1963,1122,HRETL00302
1837,1063,1968,1103,HRETL00302
1863,1043,1979,1075,HRETL00302
1890,952,1990,1049,HRETL00302
1571,1012,1616,1043,HRETL00202
1613,935,1679,1011,HBATH00102
1769,877,1845,970,WELEV00L02
1793,727,1956,862,HRETL00102
2008,799,2096,881,HSTAI00102
2073,1035,2145,1044,BDEPT00202
2077,1043,2233,1111,BDEPT00202
2074,1107,2152,1136,BDEPT00202
2076,922,2159,1012,BCONF00102
2078,1011,2149,1030,BCONF00102
2162,972,2189,1007,BREST00102
2194,939,2222,1018,WELEV00K02
2169,938,2187,966,BSTAI01002
2165,910,2189,934,BSTAI00102
2142,739,2264,878,BDEPT00102
2177,584,2269,732,BDEPT00102
2251,582,2292,684,BDEPT00102
2296,771,2337,834,BSTAI00202
2346,776,2445,838,WELEV00J02
2353,582,2700,746,BDEPT00302
2326,687,2367,737,BDEPT00302
2297,439,2374,564,IEXIT00205
2521,776,2550,829,BSTAI00302
2556,827,2593,883,BREST00202
2624,824,2662,881,IREST00805
2390,916,2504,999,BDEPT00402
2529,991,2599,1050,BDEPT00502
2601,1022,2639,1050,BDEPT00502
2561,1298,2602,1325,BSTAI00802
2565,1361,2601,1401,BREST00402
2621,1300,2987,1502,BDEPT00602
2804,1175,2981,1318,BDEPT00602
2671,1079,2771,1118,WELEV00H02
2732,1130,2766,1170,BREST00502
2800,1089,2824,1165,BSTAI00702
2827,1075,2921,1152,BSERV00102
2894,1007,2946,1071,BLABS00202
2929,997,3037,1044,BLABS00202
2962,918,3010,957,BINFO00102
2911,826,2933,852,BSTAI00502
2908,858,2934,879,WELEV00G02
2959,702,3049,872,BDEPT00702
2949,592,3041,730,BDEPT00702
2821,602,2969,697,BDEPT00702
3059,734,3127,874,BDEPT00802
3120,803,3177,871,BDEPT00802
3102,917,3137,945,BINFO00202
3183,829,3209,876,BSTAI00602
3225,844,3248,871,WELEV00E02
3236,795,3313,845,BDEPT00902
3254,841,3313,863,BDEPT00902
3124,702,3312,788,BDEPT00902
3115,621,3299,688,BDEPT00902
3078,572,3284,646,BDEPT00902
3293,967,3324,1034,IRETL00405
3045,1062,3091,1121,XEXIT00102
3095,1428,3431,1586,XHALL15902
3378,875,3453,911,DDEPT00402
3504,854,3556,900,DREST00402
3470,812,3516,826,DINFO00202
3438,732,3508,770,DELEV00D02
3508,587,3562,652,DSTAI00802
3630,818,3677,862,DREST00302
3686,808,3867,859,DLABS00102
3694,848,3875,888,DLABS00102
3758,793,3870,829,DLABS00102
3712,889,3849,944,DLABS00102
3936,878,3962,895,DELEV00C02
3936,851,3962,872,DSTAI00602
3862,676,3907,714,DREST00202
3904,549,4053,605,DDEPT00302
3578,605,3838,704,DDEPT00302
3823,554,3869,587,DSTAI00702
4052,605,4097,666,DSTAI00502
4107,593,4142,626,DREST00102
4149,628,4176,650,DELEV00B02
4163,573,4188,609,DSTAI00402
4194,605,4223,632,DINFO00102
4231,600,4309,669,DHALL02602
4095,711,4246,761,DDEPT00202
4272,728,4360,787,DEXIT00102
4325,652,4376,723,DDEPT00102
4356,635,4555,693,DDEPT00102
4159,444,4264,451,DSTAI00302
4309,512,4340,557,DSTAI00202
4161,487,4279,532,DRETL00102
4646,646,4694,681,DSTAI00102
4580,495,4682,544,DCONF00102
4599,530,4693,599,DCONF00102
4513,319,4609,382,DELEV00A02
3798,1885,3903,1962,XEXIT00202
3659,2195,3814,2305,XELEV01502
1607,2878,1702,3069,ACONF00103
1526,2809,1568,2913,AREST00103
1523,2756,1555,2790,AELEV00S03
1344,2681,1410,2785,IREST00506
1522,2757,1553,2793,AELEV00S03
1578,2658,1630,2717,ALABS00103
1642,2676,1688,2723,ALABS00203
1450,2116,1563,2219,GDEPT00403
1594,2086,1666,2128,GELEV00Q03
1594,1973,1662,2059,GREST01203
1669,1937,1704,2051,GSTAI00903
1596,1859,1662,1971,GELEV00N03
1504,1869,1562,1940,GDEPT01403
1560,1741,1657,1850,GSERV01603
1119,836,1223,912,HLABS00103
1667,1199,1703,1268,HSTAI00103
1766,1301,1867,1336,WELEV00M03
1793,1024,1888,1117,IDEPT01006
1764,884,1816,970,WELEV00L03
1621,904,1720,1015,HDEPT00103
1619,830,1718,890,HDEPT00203
1752,842,1775,874,HSERV00103
1766,826,1808,848,HBATH00103
1741,699,1790,745,ICONF00206
2229,1218,2298,1267,IREST00103
2245,1308,2362,1375,IDEPT00103
2389,1306,2481,1378,IDEPT00203
2179,947,2207,1020,WELEV00K03
2251,977,2311,1030,IREST00403
2542,1226,2604,1270,IREST00403
2540,1223,2610,1271,IREST00203
2619,1298,2793,1345,IDEPT00303
2668,1173,2760,1256,IDEPT00403
2718,1126,2757,1165,IREST00303
2791,1100,2817,1154,ISTAI00206
2817,964,2938,1093,IDEPT00503
2669,1083,2753,1122,WELEV00H03
2334,923,2473,1000,ILABS00306
2411,864,2447,923,ILABS00306
2453,865,2534,926,IDEPT00803
2317,778,2417,827,WELEV00J03
2377,659,2428,768,IDEPT00703
2310,662,2364,741,IDEPT00603
2316,739,2346,773,IDEPT00603
2613,827,2683,933,IDEPT00903
3672,2202,3814,2311,XELEV00803
