edgeID,startNode,endNode
BHALL04202BHALL04302,BHALL04202,BHALL04302
BHALL04202WELEV00H02,BHALL04202,WELEV00H02
BHALL04302BHALL02902,BHALL04302,BHALL02902
BHALL04402BHALL02802,BHALL04402,BHALL02802
BHALL04402BINFO00202,BHALL04402,BINFO00202
BHALL04402WELEV00F02,BHALL04402,WELEV00F02
BINFO00102BHALL04402,BINFO00102,BHALL04402
BINFO00102BLABS00202,BINFO00102,BLABS00202
BINFO00202BHALL02502,BINFO00202,BHALL02502
BINFO00202WELEV00F02,BINFO00202,WELEV00F02
BREST00102BHALL03402,BREST00102,BHALL03402
BREST00202BHALL00802,BREST00202,BHALL00802
BREST00302BSTAI00902,BREST00302,BSTAI00902
BREST00402BHALL03202,BREST00402,BHALL03202
BREST00502BHALL02902,BREST00502,BHALL02902
BSTAI00102BHALL00102,BSTAI00102,BHALL00102
BSTAI00202BHALL03802,BSTAI00202,BHALL03802
BSTAI00502BDEPT00702,BSTAI00502,BDEPT00702
BSTAI00502WELEV00G02,BSTAI00502,WELEV00G02
BSTAI00602BDEPT00902,BSTAI00602,BDEPT00902
BSTAI00602WELEV00E02,BSTAI00602,WELEV00E02
BSTAI00702ESTAI00301,BSTAI00702,ESTAI00301
BSTAI00802BREST00402,BSTAI00802,BREST00402
BSTAI00802ESTAI00401,BSTAI00802,ESTAI00401
BSTAI00902WHALL00602,BSTAI00902,WHALL00602
BSTAI01002BHALL00302,BSTAI01002,BHALL00302
BSTAI01002WELEV00K02,BSTAI01002,WELEV00K02
CCONF002L1WELEV00HL1,CCONF002L1,WELEV00HL1
CCONF003L1CHALL002L1,CCONF003L1,CHALL002L1
CDEPT002L1CDEPT003L1,CDEPT002L1,CDEPT003L1
CDEPT003L1CHALL014L1,CDEPT003L1,CHALL014L1
CDEPT004L1CHALL002L1,CDEPT004L1,CHALL002L1
CHALL001L1CREST001L1,CHALL001L1,CREST001L1
CHALL001L2WELEV00JL2,CHALL001L2,WELEV00JL2
CHALL002L1CSERV001L1,CHALL002L1,CSERV001L1
CHALL002L2CREST001L2,CHALL002L2,CREST001L2
CHALL003L1CCONF003L1,CHALL003L1,CCONF003L1
CHALL003L1CLABS004L1,CHALL003L1,CLABS004L1
CHALL003L2CHALL002L2,CHALL003L2,CHALL002L2
CHALL003L2WELEV00KL2,CHALL003L2,WELEV00KL2
CHALL004L1CREST004L1,CHALL004L1,CREST004L1
CHALL004L2CHALL003L2,CHALL004L2,CHALL003L2
CHALL005L1WELEV00ML1,CHALL005L1,WELEV00ML1
CHALL005L2CHALL006L2,CHALL005L2,CHALL006L2
CHALL005L2WELEV00ML2,CHALL005L2,WELEV00ML2
CHALL006L1CHALL007L1,CHALL006L1,CHALL007L1
CHALL006L2CHALL007L2,CHALL006L2,CHALL007L2
CHALL007L1CHALL008L1,CHALL007L1,CHALL008L1
CHALL007L2CHALL008L2,CHALL007L2,CHALL008L2
CHALL008L1CDEPT004L1,CHALL008L1,CDEPT004L1
CHALL008L1WELEV00KL1,CHALL008L1,WELEV00KL1
CHALL008L2CHALL009L2,CHALL008L2,CHALL009L2
CHALL008L2WELEV00LL2,CHALL008L2,WELEV00LL2
CHALL009L1CHALL010L1,CHALL009L1,CHALL010L1
CHALL009L1CRETL001L1,CHALL009L1,CRETL001L1
CHALL009L2CHALL010L2,CHALL009L2,CHALL010L2
CHALL010L1CREST003L1,CHALL010L1,CREST003L1
CHALL010L2CHALL004L2,CHALL010L2,CHALL004L2
CHALL011L1WELEV00JL1,CHALL011L1,WELEV00JL1
CHALL012L1CHALL013L1,CHALL012L1,CHALL013L1
CHALL013L1CDEPT002L1,CHALL013L1,CDEPT002L1
CHALL014L1WELEV00LL1,CHALL014L1,WELEV00LL1
CHALL015L1CCONF001L1,CHALL015L1,CCONF001L1
CHALL015L1CHALL011L1,CHALL015L1,CHALL011L1
CLABS001L1CREST002L1,CLABS001L1,CREST002L1
CLABS001L2CHALL001L2,CLABS001L2,CHALL001L2
CLABS002L1CHALL005L1,CLABS002L1,CHALL005L1
CLABS002L1CREST001L1,CLABS002L1,CREST001L1
CLABS002L2WELEV00KL2,CLABS002L2,WELEV00KL2
CLABS003L1CHALL006L1,CLABS003L1,CHALL006L1
CLABS004L1CLABS003L1,CLABS004L1,CLABS003L1
CLABS005L1CHALL003L1,CLABS005L1,CHALL003L1
CREST001L2CLABS001L2,CREST001L2,CLABS001L2
CREST002L1CHALL006L1,CREST002L1,CHALL006L1
CREST002L2CSERV001L2,CREST002L2,CSERV001L2
CREST003L1CHALL015L1,CREST003L1,CHALL015L1
CREST004L1CLABS005L1,CREST004L1,CLABS005L1
CRETL001L1CHALL012L1,CRETL001L1,CHALL012L1
CSERV001L1CCONF002L1,CSERV001L1,CCONF002L1
CSERV001L2CLABS002L2,CSERV001L2,CLABS002L2
DDEPT00302DHALL04102,DDEPT00302,DHALL04102
DHALL00102DHALL00202,DHALL00102,DHALL00202
DHALL00202DHALL00302,DHALL00202,DHALL00302
DHALL00302DHALL00402,DHALL00302,DHALL00402
DHALL00302DHALL00502,DHALL00302,DHALL00502
DHALL00502DHALL00602,DHALL00502,DHALL00602
DHALL00602DHALL00702,DHALL00602,DHALL00702
DHALL00702DHALL00802,DHALL00702,DHALL00802
DHALL00802DHALL00902,DHALL00802,DHALL00902
DHALL00902DHALL01002,DHALL00902,DHALL01002
DHALL00902DSTAI00102,DHALL00902,DSTAI00102
DHALL01002DHALL01102,DHALL01002,DHALL01102
DHALL01102DHALL01202,DHALL01102,DHALL01202
DHALL01202DCONF00102,DHALL01202,DCONF00102
DHALL01202DHALL01302,DHALL01202,DHALL01302
DHALL01202DHALL01602,DHALL01202,DHALL01602
DHALL01302DHALL01402,DHALL01302,DHALL01402
DHALL01402DHALL01502,DHALL01402,DHALL01502
DHALL01502DELEV00A02,DHALL01502,DELEV00A02
DHALL01602DHALL01702,DHALL01602,DHALL01702
DHALL01702DHALL01802,DHALL01702,DHALL01802
DHALL01702DHALL01902,DHALL01702,DHALL01902
DHALL01902DHALL02602,DHALL01902,DHALL02602
DHALL01902DHALL06002,DHALL01902,DHALL06002
DHALL02002DHALL02102,DHALL02002,DHALL02102
DHALL02102DHALL02202,DHALL02102,DHALL02202
DHALL02202DHALL02302,DHALL02202,DHALL02302
DHALL02202DRETL00102,DHALL02202,DRETL00102
DHALL02302DHALL02402,DHALL02302,DHALL02402
DHALL02302DSTAI00302,DHALL02302,DSTAI00302
DHALL02402DHALL02502,DHALL02402,DHALL02502
DHALL02602DHALL02702,DHALL02602,DHALL02702
DHALL02602DHALL02802,DHALL02602,DHALL02802
DHALL02702DDEPT00102,DHALL02702,DDEPT00102
DHALL02702DDEPT00202,DHALL02702,DDEPT00202
DHALL02702DEXIT00102,DHALL02702,DEXIT00102
DHALL02802DHALL02902,DHALL02802,DHALL02902
DHALL02802DINFO00102,DHALL02802,DINFO00102
DHALL02902DHALL03002,DHALL02902,DHALL03002
DHALL02902DSTAI00402,DHALL02902,DSTAI00402
DHALL03002DHALL03102,DHALL03002,DHALL03102
DHALL03002DHALL03202,DHALL03002,DHALL03202
DHALL03102DELEV00B02,DHALL03102,DELEV00B02
DHALL03102DREST00102,DHALL03102,DREST00102
DHALL03202DHALL03302,DHALL03202,DHALL03302
DHALL03202DHALL03402,DHALL03202,DHALL03402
DHALL03302DSTAI00502,DHALL03302,DSTAI00502
DHALL03402DHALL03502,DHALL03402,DHALL03502
DHALL03402DHALL04002,DHALL03402,DHALL04002
DHALL03402DHALL04302,DHALL03402,DHALL04302
DHALL03502DHALL03602,DHALL03502,DHALL03602
DHALL03602DHALL03702,DHALL03602,DHALL03702
DHALL03702DHALL03802,DHALL03702,DHALL03802
DHALL03702DSTAI00602,DHALL03702,DSTAI00602
DHALL03802DELEV00C02,DHALL03802,DELEV00C02
DHALL03802DHALL03902,DHALL03802,DHALL03902
DHALL04002DDEPT00302,DHALL04002,DDEPT00302
DHALL04002DREST00202,DHALL04002,DREST00202
DHALL04102DHALL04202,DHALL04102,DHALL04202
DHALL04102DSTAI00702,DHALL04102,DSTAI00702
DHALL04302DHALL04402,DHALL04302,DHALL04402
DHALL04302DHALL04602,DHALL04302,DHALL04602
DHALL04402DHALL04502,DHALL04402,DHALL04502
DHALL04602DHALL04702,DHALL04602,DHALL04702
DHALL04602DLABS00102,DHALL04602,DLABS00102
DHALL04702DHALL04802,DHALL04702,DHALL04802
DHALL04802DHALL04902,DHALL04802,DHALL04902
DHALL04802DHALL05002,DHALL04802,DHALL05002
DHALL05002DHALL05102,DHALL05002,DHALL05102
DHALL05002DREST00302,DHALL05002,DREST00302
DHALL05102DHALL05202,DHALL05102,DHALL05202
DHALL05102DHALL05302,DHALL05102,DHALL05302
DHALL05202DSTAI00802,DHALL05202,DSTAI00802
DHALL05302DHALL05402,DHALL05302,DHALL05402
DHALL05302DREST00402,DHALL05302,DREST00402
DHALL05402DHALL05502,DHALL05402,DHALL05502
DHALL05402DINFO00202,DHALL05402,DINFO00202
DHALL05502DHALL05602,DHALL05502,DHALL05602
DHALL05502DHALL05902,DHALL05502,DHALL05902
DHALL05602DHALL05702,DHALL05602,DHALL05702
DHALL05702DELEV00D02,DHALL05702,DELEV00D02
DHALL05702DHALL05802,DHALL05702,DHALL05802
DHALL05902DDEPT00402,DHALL05902,DDEPT00402
DHALL06002DHALL02002,DHALL06002,DHALL02002
DHALL06002DSTAI00202,DHALL06002,DSTAI00202
EDEPT00201EDEPT00301,EDEPT00201,EDEPT00301
EDEPT00301EHALL02101,EDEPT00301,EHALL02101
EDEPT00401EHALL03101,EDEPT00401,EHALL03101
EDEPT00401EHALL03201,EDEPT00401,EHALL03201
EHALL00301EHALL00401,EHALL00301,EHALL00401
EHALL00301WELEV00K01,EHALL00301,WELEV00K01
EHALL00401EHALL00501,EHALL00401,EHALL00501
EHALL00401ESTAI00201,EHALL00401,ESTAI00201
EHALL00501EHALL00601,EHALL00501,EHALL00601
EHALL00601EHALL00701,EHALL00601,EHALL00701
EHALL00601EHALL00801,EHALL00601,EHALL00801
EHALL00701EDEPT00101,EHALL00701,EDEPT00101
EHALL00701WELEV00J01,EHALL00701,WELEV00J01
EHALL00801EHALL00901,EHALL00801,EHALL00901
EHALL00801EINFO00101,EHALL00801,EINFO00101
EHALL00901EHALL01001,EHALL00901,EHALL01001
EHALL00901EHALL01101,EHALL00901,EHALL01101
EHALL01101EHALL01201,EHALL01101,EHALL01201
EHALL01101EHALL01501,EHALL01101,EHALL01501
EHALL01201EHALL01301,EHALL01201,EHALL01301
EHALL01301EHALL01401,EHALL01301,EHALL01401
EHALL01401EHALL02401,EHALL01401,EHALL02401
EHALL01501EHALL01601,EHALL01501,EHALL01601
EHALL01601EHALL01701,EHALL01601,EHALL01701
EHALL01601EHALL01801,EHALL01601,EHALL01801
EHALL01801EHALL02501,EHALL01801,EHALL02501
EHALL01801WELEV00G01,EHALL01801,WELEV00G01
EHALL01901EDEPT00201,EHALL01901,EDEPT00201
EHALL01901EHALL02001,EHALL01901,EHALL02001
EHALL02001ELABS00101,EHALL02001,ELABS00101
EHALL02001EREST00101,EHALL02001,EREST00101
EHALL02101EHALL02201,EHALL02101,EHALL02201
EHALL02201EHALL02301,EHALL02201,EHALL02301
EHALL02201WELEV00E01,EHALL02201,WELEV00E01
EHALL02401EHALL02501,EHALL02401,EHALL02501
EHALL02401EHALL02901,EHALL02401,EHALL02901
EHALL02501EHALL02801,EHALL02501,EHALL02801
EHALL02501EREST00201,EHALL02501,EREST00201
EHALL02601EHALL02701,EHALL02601,EHALL02701
EHALL02901EHALL03001,EHALL02901,EHALL03001
EHALL02901WELEV00H01,EHALL02901,WELEV00H01
EHALL03001ESTAI00301,EHALL03001,ESTAI00301
EHALL03101EHALL03401,EHALL03101,EHALL03401
EHALL03101EHALL03501,EHALL03101,EHALL03501
EHALL03201EHALL03301,EHALL03201,EHALL03301
EHALL03301ESTAI00401,EHALL03301,ESTAI00401
EHALL03501EHALL03601,EHALL03501,EHALL03601
ELABS00201EDEPT00401,ELABS00201,EDEPT00401
EREST00101EEXIT00201,EREST00101,EEXIT00201
EREST00201WELEV00F01,EREST00201,WELEV00F01
EREST00301ELABS00201,EREST00301,ELABS00201
ESTAI00101EHALL00301,ESTAI00101,EHALL00301
ESTAI00201EEXIT00101,ESTAI00201,EEXIT00101
ESTAI00301EREST00301,ESTAI00301,EREST00301
FDEPT00101FHALL01301,FDEPT00101,FHALL01301
FDEPT00201FHALL02001,FDEPT00201,FHALL02001
FDEPT00301FHALL01701,FDEPT00301,FHALL01701
FDEPT00401FHALL02101,FDEPT00401,FHALL02101
FDEPT00501FEXIT00301,FDEPT00501,FEXIT00301
FHALL00101FHALL00201,FHALL00101,FHALL00201
FHALL00101WHALL00101,FHALL00101,WHALL00101
FHALL00201FHALL00301,FHALL00201,FHALL00301
FHALL00201FSTAI00101,FHALL00201,FSTAI00101
FHALL00301FEXIT00101,FHALL00301,FEXIT00101
FHALL00301FHALL00401,FHALL00301,FHALL00401
FHALL00401FHALL00501,FHALL00401,FHALL00501
FHALL00501FSERV00101,FHALL00501,FSERV00101
FHALL00601FHALL00501,FHALL00601,FHALL00501
FHALL00701WELEV00L01,FHALL00701,WELEV00L01
FHALL00801FHALL00701,FHALL00801,FHALL00701
FHALL00901FHALL00801,FHALL00901,FHALL00801
FHALL00901FHALL01301,FHALL00901,FHALL01301
FHALL01001FHALL01301,FHALL01001,FHALL01301
FHALL01101FHALL00901,FHALL01101,FHALL00901
FHALL01201FHALL01101,FHALL01201,FHALL01101
FHALL01401FHALL01101,FHALL01401,FHALL01101
FHALL01401FSERV00201,FHALL01401,FSERV00201
FHALL01501FHALL01401,FHALL01501,FHALL01401
FHALL01601FHALL01501,FHALL01601,FHALL01501
FHALL01701FHALL01801,FHALL01701,FHALL01801
FHALL01801FHALL00701,FHALL01801,FHALL00701
FHALL01801FHALL03201,FHALL01801,FHALL03201
FHALL01901FHALL01601,FHALL01901,FHALL01601
FHALL01901FHALL02001,FHALL01901,FHALL02001
FHALL01901FHALL02101,FHALL01901,FHALL02101
FHALL02201FHALL02101,FHALL02201,FHALL02101
FHALL02201FHALL02801,FHALL02201,FHALL02801
FHALL02201WELEV00M01,FHALL02201,WELEV00M01
FHALL02301FHALL02401,FHALL02301,FHALL02401
FHALL02401FHALL02501,FHALL02401,FHALL02501
FHALL02501FHALL02601,FHALL02501,FHALL02601
FHALL02601FHALL03101,FHALL02601,FHALL03101
FHALL02701FHALL02601,FHALL02701,FHALL02601
FHALL02701FHALL03301,FHALL02701,FHALL03301
FHALL02801FEXIT00201,FHALL02801,FEXIT00201
FHALL02901FHALL02801,FHALL02901,FHALL02801
FHALL02901FINFO00101,FHALL02901,FINFO00101
FHALL03101FHALL00201,FHALL03101,FHALL00201
FHALL03101FREST00101,FHALL03101,FREST00101
FHALL03201FDEPT00601,FHALL03201,FDEPT00601
FHALL03201FHALL01601,FHALL03201,FHALL01601
FHALL03301FDEPT00501,FHALL03301,FDEPT00501
FLABS00101FHALL02301,FLABS00101,FHALL02301
FRETL00101FHALL00401,FRETL00101,FHALL00401
FRETL00201FHALL03001,FRETL00201,FHALL03001
FSERV00301FHALL02001,FSERV00301,FHALL02001
FSERV00401FHALL01701,FSERV00401,FHALL01701
FSERV00501FHALL02901,FSERV00501,FHALL02901
FSERV00501FHALL03001,FSERV00501,FHALL03001
FSTAI00201FHALL01001,FSTAI00201,FHALL01001
FSTAI00301FHALL02501,FSTAI00301,FHALL02501
GDEPT00403GELEV00Q03,GDEPT00403,GELEV00Q03
GDEPT00403GHALL01003,GDEPT00403,GHALL01003
GDEPT00702GHALL00502,GDEPT00702,GHALL00502
GDEPT01403GELEV00N03,GDEPT01403,GELEV00N03
GDEPT01403GSERV01603,GDEPT01403,GSERV01603
GDEPT01901GCONF02001,GDEPT01901,GCONF02001
GDEPT02402GHALL01702,GDEPT02402,GHALL01702
GDEPT02402GHALL03002,GDEPT02402,GHALL03002
GDEPT03502GHALL03002,GDEPT03502,GHALL03002
GELEV00N01GELEV00N02,GELEV00N01,GELEV00N02
GELEV00N01GELEV00N03,GELEV00N01,GELEV00N03
GELEV00N02GDEPT02402,GELEV00N02,GDEPT02402
GELEV00N02GELEV00N03,GELEV00N02,GELEV00N03
GELEV00Q01GDEPT01901,GELEV00Q01,GDEPT01901
GELEV00Q01GELEV00Q02,GELEV00Q01,GELEV00Q02
GELEV00Q01GELEV00Q03,GELEV00Q01,GELEV00Q03
GELEV00Q02GELEV00Q03,GELEV00Q02,GELEV00Q03
GELEV00Q02GREST03102,GELEV00Q02,GREST03102
GELEV00Q03GHALL00603,GELEV00Q03,GHALL00603
GELEV00QL1GELEV00Q01,GELEV00QL1,GELEV00Q01
GELEV00QL1GELEV00Q02,GELEV00QL1,GELEV00Q02
GELEV00QL1GELEV00Q03,GELEV00QL1,GELEV00Q03
GELEV00QL2GELEV00Q01,GELEV00QL2,GELEV00Q01
GELEV00QL2GELEV00Q02,GELEV00QL2,GELEV00Q02
GELEV00QL2GELEV00Q03,GELEV00QL2,GELEV00Q03
GELEV00QL2GELEV00QL1,GELEV00QL2,GELEV00QL1
GELEV00QL2GHALL007L2,GELEV00QL2,GHALL007L2
GEXIT00101GHALL00201,GEXIT00101,GHALL00201
GEXIT00101GSTAI01301,GEXIT00101,GSTAI01301
GEXIT001L1GHALL002L1,GEXIT001L1,GHALL002L1
GHALL00102GHALL00302,GHALL00102,GHALL00302
GHALL00103GHALL00203,GHALL00103,GHALL00203
GHALL001L2GLABS003L2,GHALL001L2,GLABS003L2
GHALL00201GHALL00301,GHALL00201,GHALL00301
GHALL00202GHALL00102,GHALL00202,GHALL00102
GHALL00203GHALL00303,GHALL00203,GHALL00303
GHALL002L1GHALL003L1,GHALL002L1,GHALL003L1
GHALL00301GHALL02101,GHALL00301,GHALL02101
GHALL00302GHALL00402,GHALL00302,GHALL00402
GHALL00303GDEPT00403,GHALL00303,GDEPT00403
GHALL003L1GHALL004L1,GHALL003L1,GHALL004L1
GHALL003L1GHALL005L1,GHALL003L1,GHALL005L1
GHALL00402GHALL00202,GHALL00402,GHALL00202
GHALL00402GREST00602,GHALL00402,GREST00602
GHALL00502GHALL00302,GHALL00502,GHALL00302
GHALL005L1GHALL006L1,GHALL005L1,GHALL006L1
GHALL005L1GSTAI008L1,GHALL005L1,GSTAI008L1
GHALL005L2GELEV00QL2,GHALL005L2,GELEV00QL2
GHALL00601GHALL00701,GHALL00601,GHALL00701
GHALL00601GREST01201,GHALL00601,GREST01201
GHALL00601GSTAI01301,GHALL00601,GSTAI01301
GHALL00603GHALL00703,GHALL00603,GHALL00703
GHALL00603GHALL00803,GHALL00603,GHALL00803
GHALL006L1GELEV00QL1,GHALL006L1,GELEV00QL1
GHALL00701GHALL00801,GHALL00701,GHALL00801
GHALL00701GHALL01701,GHALL00701,GHALL01701
